Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
00000003,Sienas flīzes Kora Bež 20*25,"30,750","6,881","11,65"
00000009,Flīzes MDE-210 15*50,"3,560","9,0421","13,35"
00000016,Krampītis 5*160 mm 5860,"360,000","0,1684","0,27"
00000028,Flīzes Gres Anjelik Pink D-4281 33*33 KBD25,"42,090","5,4357","8,92"
00000029,Skrūve ar aci un uzgriezni 5.4*127mm 5110,"86,000","0,3272","0,48"
00000030,S āķis 6mm HE906,"398,000","0,116","0,26"
00000032,S āķis 4 mmHE904,"381,000","0,0913","0,17"
00000037,"Kokskrūve ar aci 9,2*133","2,000","0,59","0,90"
00000039,"Pagarinātājs a/z 3-viet. 5,0 m","5,000","3,202","4,72"
00000048,Dušas stienis nerūs.tēr. nerūsējošais tērauds,"1,000","3,61","5,69"
0000006,"Flīze Evora Cuero 33,3*33,3","63,010","6,7635","10,67"
0000007,"Kokskrūve ar āķi 4,9*127","437,000","0,1289","0,20"
0000008,Kenya Verde 20*33,"21,739","6,2151","10,22"
0000010,MDE - 220 grīdas fīzes 15*50 EMG34,"16,550","9,0429","13,33"
00000132,Kokogles grila 12 L,"109,000","1,3342","2,11"
0000015,"Kokskrūve ar aci 4,9*95","11,000","0,2618","0,41"
0000016,"Kokskrūve ar āķi 7,6*115 mm","929,000","0,3021","0,48"
0000018,"Kokskrūve ar āķi 6,3*152 mm","595,000","0,1798","0,31"
0000019,"Krampītis 3,9*76 mm","924,000","0,1248","0,20"
0000019,Krampītis 76 mm,"204,000","0,1263","0,20"
0000024,Atkritumu maisi M 25 L,"3,000","0,4867","0,74"
0000025,Anjelik Dark Blue Fon 4448 20*25,"199,950","5,4086","8,37"
0000030,"Kokskrūve ar aci 7,6*152 5154","175,000","0,5069","0,80"
0000031,S āķis 5 mm  HE905,"1449,000","0,0356","0,18"
0000033,S āķis 3 mm HE903,"339,000","0,0856","0,14"
0000034,Lente krāsotāju kr02550W 25mm*50m,"15,000","0,476","0,81"
0000035,"Skrūve ar aci un uzgriezni 11,3*102mm 5117","5,000","0,472","0,74"
0000039,Izlietnes maisītājs Pafffoni DU 071 CR 19538,"996,000","0,0354","53,40"
0000040,U skava 6.9*51*77 mm,"64,000","0,7967","1,27"
0000041,"Kokskrūve ar aci 10,4*203 5156","51,000","0,702","1,12"
0000043,"Āķis misiņa 2,4*19mm 5772","909,000","0,045","0,06"
0000046,U skava 6.9*35*64mm. 5122,"107,000","0,6989","1,11"
0000048,Atkritumu maisi 45 L 57*75,"1258,000","0,7697","1,24"
0000053,U skava 6.9*51*119mm. 5164,"1031,000","0,0479","1,39"
0000054,"U skava 8,3*64*92 mm","31,000","0,8484","1,28"
0000054,Slēdzene hromēta,"47,000","2,2815","3,87"
0000057,U skava 6.9*64*132mm. 5166,"123,000","0,9648","1,47"
0000065,"Riņķis ar skrūvi un uzgriezni 8,4*102mm","24,000","1,0313","1,58"
0000068,Troses žņaugs 16 mm din741,"6,000","0,3717","0,55"
0000073,Deformācijas profils 108 Ejot,"24,000","1,0033","1,52"
0000074,Riņķis ar pamatni 7*65*45 mm,"109,000","1,2919","2,03"
00000770,Disks slīpēšanai 125*22 Nr.80,"65,000","0,7257","1,22"
0000078,Slēdzene profilcilindriem CR,"37,000","2,4611","3,87"
0000079,"Kokskrūve ar āķi 4,9*95","580,000","0,0982","0,16"
000008,Kaste pudelēm 0.5 L,"44,000","3,3882","7,16"
0000080,Mikseris 8cm plats 553,"133,000","1,4577","2,16"
0000081,Cimdi adīti kokvilnas/poliestera izm. 9,"11,000","0,2118","0,36"
0000087,Maisi linauduma 56*94 cm,"49,000","0,811","1,22"
0000101,"Savilcēji 6,8*89 mm","48,000","6,6729","24,50"
0000103,"L āķis 4,3*80 mm misiņa","300,000","0,0625","0,10"
0000107,Virtuves maisītājs Paffoni DU 182 CR,"3,000","44,38","67,67"
0000108,Rokturis durvju matēts hroms,"27,000","2,773","4,37"
0000115,Rokturis durvju matēts misiņš,"83,000","2,7743","4,37"
0000122,Rokturis durvju hromēts,"27,000","2,7744","4,37"
0000122,"Savilcēji 8,3*105 mm","41,000","2,0178","4,20"
0000123,Atkr. maisi melni 55 L 62*80,"71,000","0,8272","1,14"
0000125,"Ritenis 10*3,50-4"" met.gultnis 16mm 1001","249,000","3,2164","4,98"
0000131,"Neilona savilces 3.6*200mm,melnas","9,000","1,0733","1,69"
0000132,"Ritenis 10*3,50-4"" plastm.16mm ASS 1002R","116,000","2,7548","4,28"
0000137,Neilona savilces 3.6*150mm,"8,000","0,8138","1,28"
0000139,Rokturis durvju balts,"37,000","2,2054","3,47"
0000140,Pāreja Wavin @50/32 mm balta,"168,000","0,4368","0,67"
0000146,Rokturis durvju pulēts misiņš,"65,000","2,7743","4,37"
0000149,"Ritenis 13*3,0-8"" met.gult.16 mm ASS 1003","260,000","4,5769","6,25"
000015,PROFILS UD 30 3M,"1104,000","0,1237","1,08"
0000156,"Ritenis 13*4,0-6"" met.gult. 6 mm ASS 1004","130,000","5,4173","8,86"
